       JobID    Elapsed      NCPUS  AllocCPUS    CPUTime   TotalCPU     ReqMem   NTasks      State      User 
------------ ---------- ---------- ---------- ---------- ---------- ---------- -------- ---------- --------- 
4057           00:00:02          1          1   00:00:02   00:00:00     3000Mc           COMPLETED student05 
4057.batch     00:00:02          1          1   00:00:02   00:00:00     3000Mc        1  COMPLETED           
4061           00:00:22          1          1   00:00:22   00:00:00        2Gn           COMPLETED student05 
4061.batch     00:00:22          1          1   00:00:22   00:00:00        2Gn        1  COMPLETED           
4065           00:03:03          6          6   00:18:18   00:00:00       12Gn           COMPLETED student05 
4065.batch     00:03:03          6          6   00:18:18   00:00:00       12Gn        1  COMPLETED           
4066           00:00:01          6          6   00:00:06   00:00:00       12Gn              FAILED student05 
4066.batch     00:00:01          6          6   00:00:06   00:00:00       12Gn        1     FAILED           
4067           00:29:29          6          6   02:56:54   00:00:00       12Gn           COMPLETED student05 
4067.batch     00:29:29          6          6   02:56:54   00:00:00       12Gn        1  COMPLETED           
4058_0         00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4058_0.batch   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4058_1         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_1.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_2         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_2.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_3         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_3.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_4         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_4.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_5         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_5.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_6         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_6.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_7         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_7.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_8         00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4058_8.batch   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4058_9         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4058_9.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4058_10        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4058_10.bat+   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4058_11        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4058_11.bat+   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4059_0         00:01:00          6          6   00:06:00   00:00:00       12Gn           COMPLETED student05 
4059_0.batch   00:01:00          6          6   00:06:00   00:00:00       12Gn        1  COMPLETED           
4059_1         00:01:02          6          6   00:06:12   00:00:00       12Gn           COMPLETED student05 
4059_1.batch   00:01:02          6          6   00:06:12   00:00:00       12Gn        1  COMPLETED           
4059_2         00:01:00          6          6   00:06:00   00:00:00       12Gn           COMPLETED student05 
4059_2.batch   00:01:00          6          6   00:06:00   00:00:00       12Gn        1  COMPLETED           
4059_3         00:00:59          6          6   00:05:54   00:00:00       12Gn           COMPLETED student05 
4059_3.batch   00:00:59          6          6   00:05:54   00:00:00       12Gn        1  COMPLETED           
4059_4         00:00:57          6          6   00:05:42   00:00:00       12Gn           COMPLETED student05 
4059_4.batch   00:00:57          6          6   00:05:42   00:00:00       12Gn        1  COMPLETED           
4059_5         00:01:03          6          6   00:06:18   00:00:00       12Gn           COMPLETED student05 
4059_5.batch   00:01:03          6          6   00:06:18   00:00:00       12Gn        1  COMPLETED           
4060_0         00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_0.batch   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_1         00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4060_1.batch   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4060_2         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4060_2.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4060_3         00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4060_3.batch   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4060_4         00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_4.batch   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_5         00:00:05          8          8   00:00:40   00:00:00        2Gc           COMPLETED student05 
4060_5.batch   00:00:05          8          8   00:00:40   00:00:00        2Gc        1  COMPLETED           
4060_6         00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4060_6.batch   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4060_7         00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4060_7.batch   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4060_8         00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_8.batch   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_9         00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4060_9.batch   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4060_10        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_10.bat+   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_11        00:00:04          8          8   00:00:32   00:00:00        2Gc           COMPLETED student05 
4060_11.bat+   00:00:04          8          8   00:00:32   00:00:00        2Gc        1  COMPLETED           
4060_12        00:00:10          8          8   00:01:20   00:00:00        2Gc           COMPLETED student05 
4060_12.bat+   00:00:10          8          8   00:01:20   00:00:00        2Gc        1  COMPLETED           
4060_13        00:00:03          8          8   00:00:24   00:00:00        2Gc           COMPLETED student05 
4060_13.bat+   00:00:03          8          8   00:00:24   00:00:00        2Gc        1  COMPLETED           
4060_14        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
4060_14.bat+   00:00:09          8          8   00:01:12   00:00:00        2Gc        1  COMPLETED           
4060_15        00:00:03          8          8   00:00:24   00:00:00        2Gc           COMPLETED student05 
4060_15.bat+   00:00:03          8          8   00:00:24   00:00:00        2Gc        1  COMPLETED           
4060_16        00:00:09          8          8   00:01:12   00:00:00        2Gc           COMPLETED student05 
